poster,post_count,mean_votes,mean_comments,total_votes,total_comments,posts_with_comments_count,conversations_sparked,is_usver,ever_usver,percent_of_posts_with_comments
JayDengVC,1,1.0,0.0,1,0,0,0,False,False,0.0
JaysonFeltner,20,1.35,0.4,27,8,5,0,False,False,0.25
JennerSophia,1,1.0,0.0,1,0,0,0,False,False,0.0
Jessie_Arora,2,0.5,0.0,1,0,0,0,False,False,0.0
JilioRyan,7,1.0,0.0,7,0,0,0,False,False,0.0
Jishai,3,2.0,0.67,6,2,1,0,False,False,0.33
Jmartens,1,1.0,0.0,1,0,0,0,False,False,0.0
Jobvo,1,1.0,0.0,1,0,0,0,False,False,0.0
JohnFRevay,1,1.0,0.0,1,0,0,0,False,False,0.0
JoshMaher,2,1.0,0.0,2,0,0,0,False,False,0.0
JoshuaLopour,4,10.25,0.25,41,1,1,0,False,False,0.25
Kaleemahmad5S22,2,1.0,0.0,2,0,0,0,False,False,0.0
KenyanRandrews,1,1.0,0.0,1,0,0,0,False,False,0.0
KolinaCicero,3,1.0,0.0,3,0,0,0,False,False,0.0
KyleBanuelos,5,11.6,0.4,58,2,1,0,False,False,0.2
KyleMcCarthyism,1,2.0,0.0,2,0,0,0,False,False,0.0
L1AD,19,4.32,6.79,82,129,17,8,False,False,0.89
LLCReform,1,6.0,0.0,6,0,0,0,False,False,0.0
LeventCemAydan,1,1.0,0.0,1,0,0,0,False,False,0.0
Lewwwk,1,1.0,0.0,1,0,0,0,False,False,0.0
LoadImpact,1,6.0,0.0,6,0,0,0,False,False,0.0
LonnyLot,21,3.05,1.67,64,35,11,2,False,False,0.52
